sector,tic_id,windows,status
76,2013747304,100,kept
76,154014348,100,kept
76,199522589,100,kept
76,154219747,100,kept
76,63457231,100,kept
77,165764136,100,kept
77,336092760,100,kept
77,298663903,100,kept
77,356701798,100,kept
77,2022302893,100,kept
77,229448538,100,kept
77,456041847,100,kept
77,1101235803,100,kept
77,393961551,100,kept
77,1201227173,100,kept
78,229605891,100,kept
78,1200905851,100,kept
78,13276487,100,kept
78,230029140,100,kept
78,353503542,100,kept
79,120030856,100,kept
79,400238490,100,kept
79,287184544,100,kept
79,267257447,100,kept
79,1508575429,100,kept
79,1271194512,100,kept
79,165539491,100,kept
79,1308512401,100,kept
79,1271347484,100,kept
79,467361658,100,kept
80,233576098,100,kept
80,282230756,100,kept
80,120692317,100,kept
80,237277760,100,kept
80,54303347,100,kept
80,230378284,100,kept
80,299033092,100,kept
80,159642269,100,kept
80,311872907,100,kept
80,1790750589,100,kept
81,198390914,100,kept
81,288516513,100,kept
81,248861930,100,kept
81,27778479,100,kept
81,441717606,100,kept
81,439593330,100,kept
81,178292586,100,kept
81,28940105,100,kept
81,121945947,100,kept
81,270857590,100,kept
82,375934813,100,kept
82,27687120,100,kept
82,273234419,100,kept
82,122298677,100,kept
82,158274583,100,kept
82,158489423,100,kept
82,1201241588,100,kept
82,271349932,100,kept
82,198457856,100,kept
82,63372898,100,kept
83,56188610,100,kept
83,258630311,100,kept
83,435837260,100,kept
83,420263513,100,kept
83,56188398,100,kept
83,1201328516,100,kept
83,150713389,100,kept
83,27864699,100,kept
83,427685894,100,kept
83,243126631,100,kept
84,600236751,100,kept
84,233501728,100,kept
84,374138156,100,kept
84,467542646,100,kept
84,233539590,100,kept
84,237300955,100,kept
84,113677019,100,kept
84,416447757,100,kept
84,233238892,100,kept
84,1884196772,100,kept
85,644700441,100,kept
85,233500008,100,kept
85,230002974,100,kept
85,436933294,100,kept
85,1718257254,100,kept
85,353934800,100,kept
85,233504752,100,kept
85,621898557,100,kept
85,301091083,100,kept
85,243315463,100,kept
86,251196433,100,kept
86,347815633,100,kept
86,219861041,100,kept
86,401501843,100,kept
86,670868877,100,kept
86,459858017,100,kept
86,417652824,100,kept
86,256514752,100,kept
87,157008710,100,kept
87,271810430,100,kept
87,37602756,100,kept
87,712536416,100,kept
87,237540344,100,kept
87,277108449,100,kept
87,255744389,100,kept
87,25063986,100,kept
87,177327270,100,kept
87,425143342,100,kept
88,231099300,100,kept
88,167550778,100,kept
88,271807631,100,kept
88,407621805,100,kept
88,350024707,100,kept
88,22642772,100,kept
88,271597463,100,kept
88,412386553,100,kept
88,262614074,100,kept
88,238123875,100,kept
89,181429773,100,kept
89,831426928,100,kept
89,59858193,100,kept
89,348899659,100,kept
89,765772924,100,kept
89,440546814,100,kept
89,388129478,100,kept
89,142110261,100,kept
89,308396509,100,kept
89,220429292,100,kept
90,684939574,100,kept
90,260128333,100,kept
90,912047923,100,kept
90,452314602,100,kept
90,38509907,100,kept
90,358154354,100,kept
90,162096886,100,kept
90,167814740,100,kept
90,150357613,100,kept
90,370041901,100,kept
91,1002464526,100,kept
91,335987668,100,kept
91,20541855,100,kept
91,953704264,100,kept
91,392325299,100,kept
91,67680576,100,kept
91,305822774,100,kept
91,1608570057,100,kept
91,101469203,100,kept
91,79091075,100,kept
92,434103318,100,kept
92,313885044,100,kept
92,1444445283,100,kept
92,28840642,100,kept
92,425044644,100,kept
92,2124728,100,kept
92,430818361,100,kept
92,115591448,100,kept
92,2029226407,100,kept
92,209395139,100,kept
93,349966274,100,kept
93,348842808,100,kept
93,453218982,100,kept
93,32001054,100,kept
93,167894606,100,kept
93,323835092,100,kept
93,149930009,100,kept
93,38516117,100,kept
